ogc_fid,x,y
"332",2.134231,41.387263
"333",2.134243,41.386363
"334",2.134255,41.385462
"335",2.134267,41.384561
"336",2.134183,41.390866
"337",2.134195,41.389965
"338",2.134207,41.389065
"339",2.134219,41.388164
"340",2.134327,41.380058
"341",2.134339,41.379157
"342",2.134351,41.378257
"343",2.134362,41.377356
"344",2.134279,41.383661
"345",2.134291,41.382760
"346",2.134303,41.381859
"347",2.134315,41.380959
"348",2.134040,41.401674
"349",2.134052,41.400773
"350",2.134064,41.399873
"351",2.134076,41.398972
"352",2.133992,41.405276
"353",2.134004,41.404376
"354",2.134016,41.403475
"355",2.134028,41.402575
"356",2.134135,41.394469
"357",2.134147,41.393568
"358",2.134159,41.392667
"359",2.134171,41.391767
"360",2.134088,41.398071
"361",2.134100,41.397171
"362",2.134112,41.396270
"363",2.134124,41.395369
"364",2.133848,41.416084
"365",2.133860,41.415184
"366",2.133872,41.414283
"367",2.133884,41.413382
"368",2.133801,41.419687
"369",2.133813,41.418786
"370",2.133825,41.417886
"371",2.133836,41.416985
"372",2.133944,41.408879
"373",2.133956,41.407978
"374",2.133968,41.407078
"375",2.133980,41.406177
"376",2.133896,41.412482
"377",2.133920,41.410680
"378",2.133932,41.409780
"379",2.133657,41.430495
"380",2.133669,41.429594
"381",2.133681,41.428694
"382",2.133693,41.427793
"383",2.133609,41.434097
"384",2.133621,41.433197
"385",2.194095,41.382294
"386",2.133633,41.432296
"387",2.194106,41.381393
"388",2.133645,41.431395
"389",2.133765,41.422389
"390",2.133777,41.421488
"391",2.133789,41.420588
"392",2.133705,41.426892
"393",2.133729,41.425091
"394",2.193962,41.393102
"395",2.193973,41.392201
"396",2.193984,41.391300
"397",2.193995,41.390400
"398",2.193917,41.396704
"399",2.193928,41.395804
"400",2.193939,41.394903
"401",2.193950,41.394002
"402",2.194051,41.385896
"403",2.133513,41.441303
"404",2.194084,41.383194
"405",2.133525,41.440402
"406",2.194006,41.389499
"407",2.133537,41.439501
"408",2.194017,41.388598
"409",2.194028,41.387698
"410",2.194039,41.386797
"411",2.193783,41.407512
"412",2.193795,41.406612
"413",2.193806,41.405711
"414",2.193817,41.404810
"415",2.193739,41.411115
"416",2.193750,41.410215
"417",2.193761,41.409314
"418",2.193772,41.408413
"419",2.193872,41.400307
"420",2.193884,41.399406
"421",2.193895,41.398506
"422",2.193906,41.397605
"423",2.193828,41.403910
"424",2.193839,41.403009
"425",2.193850,41.402108
"426",2.193861,41.401208
"427",2.133848,41.326009
"428",2.133859,41.325108
"429",2.133871,41.324208
"430",2.193639,41.419221
"431",2.133800,41.329612
"432",2.193561,41.425526
"433",2.133812,41.328711
"434",2.193572,41.424625
"435",2.193583,41.423725
"436",2.193694,41.414718
"437",2.193705,41.413817
"438",2.193717,41.412917
"439",2.193728,41.412016
"440",2.133883,41.323307
"441",2.193650,41.418321
"442",2.133895,41.322406
"443",2.193661,41.417420
"444",2.193672,41.416519
"445",2.193683,41.415619
"446",2.133645,41.341320
"447",2.193427,41.436334
"448",2.193438,41.435433
"449",2.193449,41.434533
"450",2.193460,41.433632
"451",2.193382,41.439937
"452",2.133609,41.344022
"453",2.193393,41.439036
"454",2.133621,41.343122
"455",2.193405,41.438135
"456",2.133633,41.342221
"457",2.193416,41.437235
"458",2.133740,41.334115
"459",2.133752,41.333214
"460",2.193516,41.429129
"461",2.133764,41.332314
"462",2.193527,41.428228
"463",2.193538,41.427327
"464",2.193549,41.426427
"465",2.193471,41.432731
"466",2.193483,41.431831
"467",2.193494,41.430930
"468",2.133728,41.335016
"469",2.193505,41.430029
"470",2.193248,41.450745
"471",2.133477,41.353930
"472",2.193260,41.449844
"473",2.133489,41.353029
"474",2.193271,41.448943
"475",2.133406,41.359334
"476",2.193282,41.448043
"477",2.193204,41.454347
"478",2.133418,41.358433
"479",2.193215,41.453447
"480",2.133430,41.357532
"481",2.193226,41.452546
"482",2.133442,41.356632
"483",2.193237,41.451645
"484",2.193338,41.443539
"485",2.133573,41.346724
"486",2.193349,41.442639
"487",2.193360,41.441738
"488",2.193371,41.440837
"489",2.193293,41.447142
"490",2.193304,41.446241
"491",2.193315,41.445341
"492",2.133262,41.370142
"493",2.193326,41.444440
"494",2.133274,41.369241
"495",2.133286,41.368340
"496",2.133298,41.367440
"497",2.133215,41.373744
"498",2.133227,41.372844
"499",2.133238,41.371943
"500",2.133250,41.371042
"501",2.133394,41.360234
"502",2.133310,41.366539
"503",2.133322,41.365638
"504",2.133334,41.364738
"505",2.133346,41.363837
"506",2.133071,41.384552
"507",2.133083,41.383652
"508",2.133095,41.382751
"509",2.133107,41.381850
"510",2.133023,41.388155
"511",2.133035,41.387254
"512",2.133047,41.386354
"513",2.133059,41.385453
"514",2.133167,41.377347
"515",2.133179,41.376446
"516",2.133191,41.375546
"517",2.133203,41.374645
"518",2.133119,41.380950
"519",2.133131,41.380049
"520",2.133143,41.379148
"521",2.133155,41.378248
"522",2.132880,41.398963
"523",2.132892,41.398062
"524",2.132904,41.397162
"525",2.132915,41.396261
